filename,paragraph,sentence,pairs
N5085FM-00033.txt,18,2,[('安藤', '日野')]
N5085FM-00034.txt,4,2,[('安藤', '日野')]
N5085FM-00034.txt,12,3,[('安藤', '日野')]
N5085FM-00034.txt,20,5,[('日々木', '日野')]
N5085FM-00034.txt,24,5,[('華菜', '日野')]
N5085FM-00034.txt,26,5,[('安藤', '日野')]
N5085FM-00034.txt,33,1,[('谷', '日野'), ('日々木', '日野'), ('谷', '日々木')]
N5085FM-00034.txt,43,3,[('安藤', '日野')]
N5085FM-00034.txt,44,7,[('日野', '華菜')]
N5085FM-00034.txt,45,5,[('安藤', '日野')]
N5085FM-00034.txt,48,4,[('松田', '日野')]
N5085FM-00035.txt,20,2,[('日野', '日々木')]
N5085FM-00035.txt,44,5,[('渡瀬', '日野')]
N5085FM-00035.txt,47,7,[('谷', '三島'), ('三島', '松田'), ('谷', '松田')]
N5085FM-00035.txt,57,6,[('松田', '日々木')]
N5085FM-00035.txt,64,3,[('田村', '小野田'), ('田村', '日野'), ('小野田', '日野')]
N5085FM-00035.txt,66,4,[('田村', '日野')]
N5085FM-00035.txt,68,1,[('田村', '日野')]
N5085FM-00035.txt,71,2,[('小野田', '日野')]
N5085FM-00035.txt,72,5,[('安藤', '小野田'), ('安藤', '日々木'), ('小野田', '日々木'), ('田村', '小野田'), ('田村', '日々木'), ('安藤', '田村')]
N5085FM-00035.txt,74,1,[('田村', '日野')]
N5085FM-00035.txt,75,2,[('田村', '小野田')]
N5085FM-00035.txt,90,4,[('松田', '日野'), ('松田', '田辺'), ('田辺', '日野')]
N5085FM-00035.txt,91,1,[('谷', '渡瀬')]
N5085FM-00035.txt,102,5,[('田村', '小野田'), ('田村', '日野'), ('小野田', '日野')]
N5085FM-00035.txt,104,2,[('田村', '小野田')]
N5085FM-00035.txt,107,1,[('日々木', '日野')]
N5085FM-00035.txt,108,4,[('松田', '日野')]
N5085FM-00036.txt,15,4,[('安藤', '日野')]
N5085FM-00036.txt,16,6,[('渡瀬', '松田'), ('渡瀬', '藤原'), ('三島', '渡瀬'), ('松田', '藤原'), ('三島', '藤原'), ('三島', '松田')]
N5085FM-00036.txt,18,1,[('三島', '渡瀬')]
N5085FM-00036.txt,37,1,[('渡瀬', '松田')]
N5085FM-00036.txt,38,1,[('渡瀬', '笠井')]
N5085FM-00036.txt,40,1,[('松田', '笠井')]
N5085FM-00036.txt,41,1,[('三島', '千草')]
N5085FM-00036.txt,42,2,[('千草', '日野')]
N5085FM-00036.txt,43,1,[('高木', '日々木')]
N5085FM-00036.txt,44,2,[('高木', '千草'), ('高木', '日野'), ('千草', '日野')]
N5085FM-00036.txt,51,1,[('渡瀬', '小野田'), ('三島', '小野田'), ('三島', '渡瀬')]
N5085FM-00036.txt,61,1,[('三島', '渡瀬')]
N5085FM-00036.txt,72,1,[('谷', '小野田'), ('谷', '校長先生'), ('小野田', '校長先生')]
N5085FM-00036.txt,74,1,[('谷', '小野田')]
N5085FM-00037.txt,4,3,[('三島', '渡瀬'), ('渡瀬', '日野'), ('三島', '日野')]
N5085FM-00037.txt,31,3,[('谷', '渡瀬'), ('谷', '日野'), ('渡瀬', '日野')]
N5085FM-00037.txt,33,6,[('日々木', '安藤'), ('日野', '日々木'), ('日野', '安藤'), ('藤原', '田村'), ('安藤', '田村'), ('藤原', '安藤'), ('日々木', '田村'), ('日野', '藤原'), ('日野', '田村'), ('日々木', '藤原')]
N5085FM-00037.txt,35,4,[('三島', '渡瀬')]
N5085FM-00038.txt,6,5,[('続木', '日野'), ('日々木', '日野'), ('続木', '日々木')]
N5085FM-00038.txt,9,1,[('渡瀬', '日野')]
N5085FM-00038.txt,12,1,[('渡瀬', '松田'), ('三島', '渡瀬'), ('松田', '日野'), ('渡瀬', '日野'), ('三島', '日野'), ('三島', '松田')]
N5085FM-00038.txt,14,1,[('松田', '日野')]
N5085FM-00038.txt,18,1,[('渡瀬', '田村'), ('日野', '小野田'), ('三島', '渡瀬'), ('小野田', '渡瀬'), ('三島', '小野田'), ('日野', '渡瀬'), ('三島', '日野'), ('三島', '田村'), ('日野', '田村'), ('小野田', '田村')]
N5085FM-00038.txt,22,2,[('渡瀬', '谷'), ('三島', '谷'), ('三島', '渡瀬')]
N5085FM-00039.txt,22,2,[('渡瀬', '谷'), ('三島', '谷'), ('三島', '渡瀬')]
N5085FM-00040.txt,5,1,[('笠井', '日野')]
N5085FM-00040.txt,6,4,[('笠井', '日野')]
N5085FM-00040.txt,18,3,[('笠井', '日野')]
N5085FM-00041.txt,1,1,[('松田', '笠井')]
N5085FM-00041.txt,8,2,[('松田', '笠井')]
N5085FM-00041.txt,12,2,[('松田', '日野')]
N5085FM-00041.txt,19,4,[('松田', '日野')]
N5085FM-00041.txt,32,3,[('松田', '日々木'), ('日々木', '日野'), ('松田', '日野')]
N5085FM-00041.txt,33,1,[('松田', '笠井')]
N5085FM-00041.txt,36,1,[('笠井', '須賀'), ('田辺', '笠井'), ('田辺', '須賀')]
N5085FM-00042.txt,1,1,[('松田', '須賀')]
N5085FM-00042.txt,4,2,[('渡瀬', '松田'), ('松田', '笠井'), ('渡瀬', '笠井')]
N5085FM-00042.txt,5,4,[('日野', '笠井'), ('日野', '高木'), ('日野', '田辺'), ('笠井', '田辺'), ('高木', '田辺'), ('笠井', '高木'), ('松田', '田辺'), ('松田', '笠井'), ('日野', '松田'), ('松田', '高木')]
N5085FM-00042.txt,7,2,[('渡瀬', '田辺'), ('田辺', '日野'), ('渡瀬', '日野')]
N5085FM-00042.txt,9,4,[('笠井', '田辺'), ('松田', '田辺'), ('松田', '笠井')]
N5085FM-00042.txt,13,3,[('笠井', '田辺'), ('松田', '田辺'), ('松田', '笠井')]
N5085FM-00043.txt,21,5,[('松田', '日々木'), ('日々木', '日野'), ('松田', '日野')]
N5085FM-00043.txt,25,3,[('松田', '笠井')]
N5085FM-00043.txt,26,5,[('谷', '三島')]
N5085FM-00043.txt,28,4,[('笠井', '須賀'), ('田辺', '笠井'), ('田辺', '須賀')]
N5085FM-00043.txt,32,3,[('松田', '笠井')]
N5085FM-00043.txt,38,1,[('渡瀬', '松田')]
N5085FM-00043.txt,45,1,[('田辺', '須賀')]
N5085FM-00043.txt,49,1,[('松田', '笠井')]
N5085FM-00044.txt,3,1,[('松田', '日野')]
N5085FM-00044.txt,6,3,[('松田', '日野')]
N5085FM-00044.txt,8,3,[('渡瀬', '松田')]
N5085FM-00044.txt,9,3,[('松田', '千草'), ('松田', '日野'), ('千草', '日野'), ('高木', '日野'), ('松田', '高木'), ('高木', '千草')]
N5085FM-00044.txt,24,2,[('松田', '日野')]
N5085FM-00044.txt,30,2,[('松田', '高木')]
N5085FM-00044.txt,32,1,[('千草', '日野')]
N5085FM-00044.txt,43,1,[('高木', '塚本'), ('松田', '千草'), ('松田', '塚本'), ('千草', '塚本'), ('松田', '高木'), ('高木', '千草')]
N5085FM-00044.txt,45,1,[('麓', '三島')]
N5085FM-00044.txt,48,1,[('松田', '日野')]
N5085FM-00044.txt,57,1,[('松田', '千草')]
N5085FM-00044.txt,58,3,[('松田', '千草')]
N5085FM-00044.txt,65,1,[('高木', '日々木')]
